ordinal,case_id,category,conversation_id,turn_index,http_status,question,answer,citations_text,evidence_titles_joined,answer_quality_score_0_10,factual_correctness_0_4,question_focus_0_2,completeness_0_1_5,citation_support_0_1_5,clarity_style_0_1,cap_rule_applied,critical_fail,retrieval_evidence_score_0_10,missing_expected_slots_joined,forbidden_hits_joined,audit_notes
76,G5K_0076,explanation,,1,200,"Nếu học sinh hỏi Toàn quốc kháng chiến 1946 quan trọng ở đâu, nên trả lời thế nào?","Toàn quốc kháng chiến 1946 quan trọng ở chỗ đây là **mở đầu kháng chiến toàn quốc chống Pháp**, thể hiện tinh thần **toàn dân** đứng lên kháng chiến và đánh dấu cuộc đấu tranh chuyển sang giai đoạn lâu dài hơn. [1]","[1]: Toàn quốc kháng chiến :: Chuẩn hóa theo canonical fact TOAN_QUOC_KHANG_CHIEN_1946_MEANING: Toàn quốc kháng chiến 1946 có ý nghĩa mở đầu cuộc kháng chiến toàn quốc chống Pháp, huy động tinh thần toàn dân kháng chiến và chuyển cuộc đấu tranh sang giai đoạn lâu dài.. [TITLE] Toàn quốc kháng chiến - canonical answer evidence [SUMMARY] Ngày 19/12/1946, cuộc Toàn quốc kháng chiế...","Toàn quốc kháng chiến | Đấu tranh ngoại giao với Pháp trước 19/12/1946 | Toàn quốc kháng chiến bùng nổ | Hình thành đường lối kháng chiến toàn dân, toàn diện, lâu dài, tự lực cánh sinh | Công bố/lan truyền Lời kêu gọi Toàn quốc kháng chiến",4.0,4.0,0.5,1.5,1.5,1.0,forbidden/wrong entity hit,True,10.0,,2/9/1945,
77,G5K_0077,explanation,,1,200,"Nếu học sinh hỏi Chiến thắng Điện Biên Phủ 1954 quan trọng ở đâu, nên trả lời thế nào?","Có thể trả lời ngắn gọn: “Chiến thắng Điện Biên Phủ 1954 là một **mốc quyết định** trong kháng chiến chống Pháp; thắng lợi này **đánh bại** ý chí xâm lược của Pháp, tác động trực tiếp tới **Genève 1954**, đồng thời làm **suy yếu chủ nghĩa thực dân** và **cổ vũ phong trào giải phóng dân tộc** trên thế giới.” [1]","[1]: Ý nghĩa Chiến thắng Điện Biên Phủ 1954 :: Chuẩn hóa theo canonical fact DBP_1954_INTERNATIONAL_IMPACT: Điện Biên Phủ 1954 là mốc quyết định trong kháng chiến chống Pháp: thắng lợi này đánh bại ý chí xâm lược của Pháp, làm phá sản Kế hoạch Nava và tác động trực tiếp tới Hội nghị Genève 1954; về quốc tế, nó làm suy yếu chủ nghĩa thực dân và cổ vũ phong trào giải phóng dân tộc.. [TITLE] Ý ngh...",Ý nghĩa Chiến thắng Điện Biên Phủ 1954 | So sánh Điện Biên Phủ 1954 và Chiến dịch Hồ Chí Minh 1975 | Chiến thắng Điện Biên Phủ - canonical answer evidence | Mốc ngày 7/5/1954 trong lịch sử Việt Nam 1945-1954 | So sánh Chiến dịch Biên giới 1950 và Chiến dịch Điện Biên Phủ 1954,10.0,4.0,2.0,1.5,1.5,1.0,,False,10.0,,,
78,G5K_0078,explanation,,1,200,"Nếu học sinh hỏi Chiến dịch Biên giới Thu Đông 1950 quan trọng ở đâu, nên trả lời thế nào?","Có thể trả lời: “Chiến dịch Biên giới Thu Đông 1950 có ý nghĩa **khai thông biên giới**, **mở rộng căn cứ địa** và giúp cuộc kháng chiến chống Pháp chuyển sang **thế chủ động** hơn.” [1]","[1]: Chiến dịch Biên giới Thu-Đông 1950 :: Chuẩn hóa theo canonical fact BIEN_GIOI_1950_MEANING: Chiến dịch Biên giới Thu Đông 1950 có ý nghĩa khai thông biên giới, mở rộng căn cứ địa và giúp cuộc kháng chiến chống Pháp chuyển sang thế chủ động hơn.. [TITLE] Chiến dịch Biên giới Thu-Đông 1950 - canonical answer evidence [SUMMARY] Chiến dịch Biên giới Thu-Đông 1950 khai thông biên giới Việt-...","Chiến dịch Biên giới Thu-Đông 1950 | Ngày 10/3/1975 mở màn chiến dịch Tây Nguyên tại Buôn Ma Thuột | Năm 1939: Chiến tranh thế giới thứ hai và Hội nghị Trung ương 6 | Năm 1939, Chiến tranh thế giới thứ hai và chuyển hướng chiến lược | Năm 1974: chuyển biến trước Tổng tiến công 1975 và Phước Long",10.0,4.0,2.0,1.5,1.5,1.0,,False,10.0,,,
79,G5K_0079,explanation,,1,200,Giải thích ngắn vì sao Cách mạng Tháng Tám 1945 là một mốc quan trọng.,"Cách mạng Tháng Tám 1945 là một mốc quan trọng vì nhân dân đã **giành chính quyền** trên cả nước, mở ra kỷ nguyên độc lập dân tộc và dẫn tới sự ra đời của nước **Việt Nam Dân chủ Cộng hòa** vào ngày **2/9/1945**. [1]","[1]: Ý nghĩa Cách mạng Tháng Tám 1945 :: Chuẩn hóa theo canonical fact CMT8_1945_POLITICAL_RESULT: Kết quả chính trị lớn của Cách mạng Tháng Tám 1945 là nhân dân giành chính quyền trên cả nước, mở đường cho độc lập dân tộc và dẫn tới sự ra đời của nước Việt Nam Dân chủ Cộng hòa ngày 2/9/1945.. [TITLE] Ý nghĩa Cách mạng Tháng Tám 1945 [SUMMARY] Thắng lợi ở Hà Nội, Huế và Sài Gòn có ý nghĩa...",Ý nghĩa Cách mạng Tháng Tám 1945 | Ý nghĩa Cách mạng Tháng Tám 1945 | Nguồn trực tiếp: Bình dân học vụ chống nạn mù chữ sau Cách mạng Tháng Tám | Bình dân học vụ sau Cách mạng Tháng Tám | Đội Việt Nam Tuyên truyền Giải phóng quân thành lập ngày 22/12/1944,10.0,4.0,2.0,1.5,1.5,1.0,,False,10.0,,,
80,G5K_0080,explanation,,1,200,chien thang dien bien phu co tac dong quoc te nhu the nao?,"Chiến thắng Điện Biên Phủ 1954 là một **mốc quyết định** trong lịch sử: nó **đánh bại** ý chí xâm lược của Pháp, làm phá sản Kế hoạch Nava và tác động trực tiếp tới **Genève 1954**; về mặt quốc tế, thắng lợi này góp phần **suy yếu chủ nghĩa thực dân** và **cổ vũ phong trào giải phóng dân tộc** trên thế giới. [1]","[1]: Ý nghĩa Chiến thắng Điện Biên Phủ 1954 :: Chuẩn hóa theo canonical fact DBP_1954_INTERNATIONAL_IMPACT: Điện Biên Phủ 1954 là mốc quyết định trong kháng chiến chống Pháp: thắng lợi này đánh bại ý chí xâm lược của Pháp, làm phá sản Kế hoạch Nava và tác động trực tiếp tới Hội nghị Genève 1954; về quốc tế, nó làm suy yếu chủ nghĩa thực dân và cổ vũ phong trào giải phóng dân tộc.. [TITLE] Ý ngh...",Ý nghĩa Chiến thắng Điện Biên Phủ 1954 | So sánh Điện Biên Phủ 1954 và Chiến dịch Hồ Chí Minh 1975 | Chiến thắng Điện Biên Phủ - canonical answer evidence | Mốc ngày 7/5/1954 trong lịch sử Việt Nam 1945-1954 | So sánh Chiến dịch Biên giới 1950 và Chiến dịch Điện Biên Phủ 1954,10.0,4.0,2.0,1.5,1.5,1.0,,False,10.0,,,
81,G5K_0081,explanation,,1,200,tong tien cong mua xuan 1975 ket thuc bang moc nao?,"Tổng tiến công mùa Xuân 1975 kết thúc bằng mốc ngày 30/4/1975: giải phóng miền Nam, chính quyền Sài Gòn đầu hàng, qua đó kết thúc chiến tranh và mở đường cho thống nhất đất nước. [1]","[1]: Ý nghĩa Chiến dịch Hồ Chí Minh và Đại thắng mùa Xuân 1975 :: Chuẩn hóa theo canonical fact APRIL_30_1975_MEANING: Ngày 30/4/1975 gắn với giải phóng miền Nam, chính quyền Sài Gòn đầu hàng, kết thúc chiến tranh và mở đường cho thống nhất đất nước.. [TITLE] Ý nghĩa Chiến dịch Hồ Chí Minh và Đại thắng mùa Xuân 1975 [SUMMARY] Chiến dịch Hồ Chí Minh là đòn quyết định trong cuộc tấn công quân sự cuối cùng của mùa X...",Ý nghĩa Chiến dịch Hồ Chí Minh và Đại thắng mùa Xuân 1975 | Huế được giải phóng ngày 26/3/1975 | Ngày 10/3/1975 mở màn chiến dịch Tây Nguyên tại Buôn Ma Thuột | Chiến thắng Phước Long cuối 1974 - đầu 1975 | Năm 1975: Tổng tiến công mùa Xuân và giải phóng miền Nam,4.0,4.0,0.5,1.5,1.5,1.0,forbidden/wrong entity hit,True,10.0,,2/9/1945,
82,G5K_0082,explanation,,1,200,Giải thích ngắn vì sao Chiến dịch Tây Nguyên 1975 là một mốc quan trọng.,"Chiến dịch Tây Nguyên là một mốc quan trọng vì thắng lợi ở Buôn Ma Thuột ngày 10/3/1975 đã mở đầu **đột phá chiến lược** của Tổng tiến công mùa Xuân 1975, làm thay đổi cục diện chiến trường, tạo đà tiến nhanh tới **Huế - Đà Nẵng**, rồi đến **Sài Gòn**, góp phần quyết định dẫn tới thắng lợi ngày **30/4/1975**. [1]","[1]: Ngày 10/3/1975 mở màn chiến dịch Tây Nguyên tại Buôn Ma Thuột :: Chuẩn hóa theo canonical fact TAY_NGUYEN_1975_BREAKTHROUGH: Chiến dịch Tây Nguyên 1975 mở đầu đột phá chiến lược của Tổng tiến công mùa Xuân 1975; thắng lợi ở Buôn Ma Thuột ngày 10/3/1975 tạo đà phát triển nhanh tới Huế - Đà Nẵng và cuối cùng tới Sài Gòn, kết thúc bằng mốc 30/4/1975 trong Chiến dịch Hồ Chí Minh.. [TITLE] Ngày 10/3/1975 mở màn chiến...",Ngày 10/3/1975 mở màn chiến dịch Tây Nguyên tại Buôn Ma Thuột | Chiến thắng Phước Long cuối 1974 - đầu 1975 | Năm 1975: Tổng tiến công mùa Xuân và giải phóng miền Nam | Đường 9 trong Chiến dịch Đường 9 - Nam Lào năm 1971 | Đội Việt Nam Tuyên truyền Giải phóng quân thành lập ngày 22/12/1944,10.0,4.0,2.0,1.5,1.5,1.0,,False,10.0,,,
83,G5K_0083,explanation,,1,200,"Nếu học sinh hỏi Phong trào Đồng Khởi quan trọng ở đâu, nên trả lời thế nào?","Có thể trả lời: Phong trào Đồng Khởi quan trọng ở chỗ đã làm thay đổi cục diện cách mạng miền Nam trong giai đoạn 1959-1960, từ thế giữ gìn lực lượng sang thế tiến công, phá thế kìm kẹp của đối phương ở nhiều nơi và tạo cơ sở cho Mặt trận Dân tộc Giải phóng miền Nam ra đời. [1]","[1]: Đồng Khởi là chuyển biến quan trọng ở miền Nam :: Chuẩn hóa theo canonical fact DONG_KHOI_MEANING: Đồng Khởi 1959-1960 làm thay đổi thế cách mạng miền Nam: từ thế giữ gìn lực lượng sang thế tiến công, phá thế kìm kẹp ở nhiều nơi và tạo cơ sở cho Mặt trận Dân tộc Giải phóng miền Nam (MTDTGPMN) ra đời.. [TITLE] Đồng Khởi là chuyển biến quan trọng ở miền Nam [SUMMARY] Đồng Khởi 1959-1960 là chuyển bi...",Đồng Khởi là chuyển biến quan trọng ở miền Nam | Ngày 10/3/1975 mở màn chiến dịch Tây Nguyên tại Buôn Ma Thuột | Xô viết Nghệ Tĩnh trong cao trào 1930-1931 | Lời kêu gọi thi đua ái quốc ngày 11/6/1948 | Phong trào dân chủ 1936-1939,10.0,4.0,2.0,1.5,1.5,1.0,,False,10.0,,,
84,G5K_0084,explanation,,1,200,viet minh co vai tro gi trong cach mang thang tam?,"Việt Minh ra đời trong tháng 5/1941; nguồn dữ liệu ghi mốc 19/5/1941 là ngày thành lập Mặt trận Việt Minh, gắn với Hội nghị Trung ương 8 do Nguyễn Ái Quốc chủ trì. Tổ chức này tập hợp lực lượng yêu nước, tổ chức và lãnh đạo quần chúng đấu tranh giành chính quyền, góp phần trực tiếp vào thắng lợi của Cách mạng Tháng Tám 1945 [1]","[1]: So sánh Đảng Cộng sản Việt Nam và Việt Minh :: Chuẩn hóa theo canonical fact VIET_MINH_1941_ROLE: Việt Minh ra đời trong tháng 5/1941; nguồn dữ liệu ghi mốc 19/5/1941 là ngày thành lập Mặt trận Việt Minh, gắn với Hội nghị Trung ương 8 do Nguyễn Ái Quốc chủ trì. Tổ chức này tập hợp lực lượng yêu nước, tổ chức và lãnh đạo quần chúng đấu tranh giành chính quyền, góp phần trực tiếp vào thắng lợi củ...",So sánh Đảng Cộng sản Việt Nam và Việt Minh | Hội nghị Trung ương 8 năm 1941 và Việt Minh | Nguồn trực tiếp: Bình dân học vụ chống nạn mù chữ sau Cách mạng Tháng Tám | Bình dân học vụ sau Cách mạng Tháng Tám | Đường 9 trong Chiến dịch Đường 9 - Nam Lào năm 1971,9.85,4.0,2.0,1.5,1.35,1.0,,False,10.0,,,
85,G5K_0085,explanation,,1,200,"Nếu học sinh hỏi Tết Mậu Thân 1968 quan trọng ở đâu, nên trả lời thế nào?","Tết Mậu Thân 1968 tạo tác động chính trị lớn: làm lung lay chiến lược chiến tranh của Mỹ, ảnh hưởng mạnh tới dư luận/chính trường Mỹ và thúc đẩy cục diện đàm phán; mốc ngoại giao quan trọng sau đó là Hiệp định Paris 1973. Sự kiện này không làm chiến tranh kết thúc ngay [1]","[1]: So sánh Hiệp định Genève 1954 và Hiệp định Paris 1973 :: Chuẩn hóa theo canonical fact TET_MAU_THAN_1968_IMPACT: Tết Mậu Thân 1968 tạo tác động chính trị lớn: làm lung lay chiến lược chiến tranh của Mỹ, ảnh hưởng mạnh tới dư luận/chính trường Mỹ và thúc đẩy cục diện đàm phán; mốc ngoại giao quan trọng sau đó là Hiệp định Paris 1973. Sự kiện này không làm chiến tranh kết thúc ngay.. [TITLE] So sánh Hiệp đ...",So sánh Hiệp định Genève 1954 và Hiệp định Paris 1973 | Năm 1968: Tổng tiến công và nổi dậy Tết Mậu Thân | Lời kêu gọi thi đua ái quốc ngày 11/6/1948 | Năm 1939: Chiến tranh thế giới thứ hai và Hội nghị Trung ương 6 | Năm 1969: Chính phủ Cách mạng lâm thời và bối cảnh đàm phán,4.0,3.7,0.5,1.12,1.31,1.0,forbidden/wrong entity hit,True,10.0,không kết thúc ngay,chiến tranh kết thúc ngay,
86,G5K_0086,explanation,,1,200,"Nói theo nguyên nhân - kết quả, Toàn quốc kháng chiến 1946 tác động ra sao?","Về nguyên nhân - kết quả, sự kiện **23/9/1945** là **Nam Bộ kháng chiến**, còn **19/12/1946** là **Toàn quốc kháng chiến**; hai mốc này **khác nhau** về thời điểm và phạm vi. Kết quả của **19/12/1946** là cuộc kháng chiến chống Pháp **bùng nổ trên phạm vi cả nước**. [1][3]","[1]: Mốc ngày 19/12/1946 trong lịch sử Việt Nam 1945-1954 :: Chuẩn hóa theo canonical fact NAM_BO_VS_TOAN_QUOC_KHANG_CHIEN: Nam Bộ kháng chiến bắt đầu ngày 23/9/1945 ở Sài Gòn - Nam Bộ khi Pháp trở lại xâm lược; Toàn quốc kháng chiến bùng nổ ngày 19/12/1946, mở đầu cuộc kháng chiến toàn quốc chống Pháp. Hai mốc khác nhau về phạm vi và thời điểm.. [TITLE] Mốc ngày 19/12/1946 trong lịch sử Việt Nam 1945-1954 [... | [3]: Toàn quốc kháng chiến bùng nổ :: Năm 1946, Toàn quốc kháng chiến bùng nổ.","Mốc ngày 19/12/1946 trong lịch sử Việt Nam 1945-1954 | Đấu tranh ngoại giao với Pháp trước 19/12/1946 | Toàn quốc kháng chiến bùng nổ | Hình thành đường lối kháng chiến toàn dân, toàn diện, lâu dài, tự lực cánh sinh | Công bố/lan truyền Lời kêu gọi Toàn quốc kháng chiến",4.0,2.8,0.5,1.0,1.12,1.0,forbidden/wrong entity hit,True,10.0,toàn dân,2/9/1945,
87,G5K_0087,explanation,,1,200,vai tro cua hau phuong mien bac?,"Miền Bắc giữ vai trò **hậu phương lớn**, **chi viện người và vật chất** cho **miền Nam** trong kháng chiến chống Mỹ. [1]","[1]: Năm 1959: Đoàn 559 và đường Trường Sơn :: Chuẩn hóa theo canonical fact NORTH_REAR_BASE_SUPPORT: Miền Bắc giữ vai trò hậu phương lớn trong kháng chiến chống Mỹ vì xây dựng lực lượng và chi viện người, vật chất cho tiền tuyến miền Nam.. [TITLE] Năm 1959: Đoàn 559 và đường Trường Sơn [SUMMARY] Ngày 19/5/1959, Đoàn 559 được thành lập. [YEAR] 1959 [YEARS] 1959 [DATES] [PERIOD] 1959",Năm 1959: Đoàn 559 và đường Trường Sơn | Bắt đầu xây dựng đường Trường Sơn (đường Hồ Chí Minh) – huyết mạch chi viện miền Nam (1959) | Đồng Khởi là chuyển biến quan trọng ở miền Nam | Bối cảnh chính của Điện Biên Phủ trên không | Chiến tranh đặc biệt ở miền Nam giai đoạn 1961-1965,10.0,4.0,2.0,1.5,1.5,1.0,,False,10.0,,,
88,G5K_0088,explanation,,1,200,Giải thích ngắn vì sao Điện Biên Phủ trên không 1972 là một mốc quan trọng.,"Điện Biên Phủ trên không năm **1972** là mốc quan trọng vì trong **12 ngày đêm**, quân dân miền Bắc đã đánh bại cuộc tập kích chiến lược bằng **B-52**, qua đó tạo sức ép trực tiếp dẫn tới việc ký **Hiệp định Paris 1973**. [1]","[1]: Điện Biên Phủ trên không :: Chuẩn hóa theo canonical fact DBP_AIR_1972_PARIS_PRESSURE: Điện Biên Phủ trên không diễn ra trong 12 ngày đêm cuối tháng 12/1972, khi quân dân miền Bắc đánh bại cuộc tập kích chiến lược bằng B-52; thắng lợi này tạo sức ép quan trọng dẫn tới việc ký Hiệp định Paris năm 1973.. [TITLE] Điện Biên Phủ trên không - canonical answer evidence [SUMMARY] Cuố...",Điện Biên Phủ trên không | Bối cảnh chính của Điện Biên Phủ trên không | Năm 1972: Tiến công chiến lược và Điện Biên Phủ trên không | Diễn biến chính thời kỳ 1945-1954 | So sánh Điện Biên Phủ 1954 và Hiệp định Genève 1954,10.0,4.0,2.0,1.5,1.5,1.0,,False,10.0,,,
89,G5K_0089,explanation,,1,200,"Nói theo nguyên nhân - kết quả, Ngày 30/4/1975 tác động ra sao?","Ngày 30/4/1975 tác động trực tiếp là **giải phóng miền Nam**, khiến chính quyền Sài Gòn đầu hàng, **kết thúc chiến tranh** và **mở đường cho thống nhất đất nước**. [1]","[1]: Ý nghĩa Chiến dịch Hồ Chí Minh và Đại thắng mùa Xuân 1975 :: Chuẩn hóa theo canonical fact APRIL_30_1975_MEANING: Ngày 30/4/1975 gắn với giải phóng miền Nam, chính quyền Sài Gòn đầu hàng, kết thúc chiến tranh và mở đường cho thống nhất đất nước.. [TITLE] Ý nghĩa Chiến dịch Hồ Chí Minh và Đại thắng mùa Xuân 1975 [SUMMARY] Chiến dịch Hồ Chí Minh là đòn quyết định trong cuộc tấn công quân sự cuối cùng của mùa X...",Ý nghĩa Chiến dịch Hồ Chí Minh và Đại thắng mùa Xuân 1975 | Bối cảnh chính của Chiến dịch Hồ Chí Minh | Phân biệt 30/4/1975 với mốc Quốc hội hoàn tất thống nhất nhà nước | Chiến thắng Phước Long cuối 1974 - đầu 1975 | Ngày 10/3/1975 mở màn chiến dịch Tây Nguyên tại Buôn Ma Thuột,4.0,4.0,0.5,1.5,1.5,1.0,forbidden/wrong entity hit,True,10.0,,2/9/1945,
90,G5K_0090,explanation,,1,200,Tết Mậu Thân 1968 có ý nghĩa chính như thế nào trong giai đoạn 1930-1975?,"Tết Mậu Thân 1968 có ý nghĩa chính là tạo tác động chính trị rất lớn: làm lung lay chiến lược chiến tranh của Mỹ, ảnh hưởng mạnh tới dư luận/chính trường Mỹ và thúc đẩy đàm phán; tuy nhiên sự kiện này **không kết thúc ngay** cuộc chiến, mà mốc ngoại giao quan trọng sau đó là **Hiệp định Paris 1973**. [1]","[1]: So sánh Hiệp định Genève 1954 và Hiệp định Paris 1973 :: Chuẩn hóa theo canonical fact TET_MAU_THAN_1968_IMPACT: Tết Mậu Thân 1968 tạo tác động chính trị lớn: làm lung lay chiến lược chiến tranh của Mỹ, ảnh hưởng mạnh tới dư luận/chính trường Mỹ và thúc đẩy cục diện đàm phán; mốc ngoại giao quan trọng sau đó là Hiệp định Paris 1973. Sự kiện này không làm chiến tranh kết thúc ngay.. [TITLE] So sánh Hiệp đ...",So sánh Hiệp định Genève 1954 và Hiệp định Paris 1973 | Chiến thắng Phước Long cuối 1974 - đầu 1975 | Năm 1968: Tổng tiến công và nổi dậy Tết Mậu Thân | Năm 1975: Tổng tiến công mùa Xuân và giải phóng miền Nam | Năm 1930: Đảng Cộng sản Việt Nam ra đời và cao trào 1930-1931,9.81,4.0,2.0,1.5,1.31,1.0,,False,10.0,,,
91,G5K_0091,explanation,,1,200,Giải thích ngắn vì sao Tết Mậu Thân 1968 là một mốc quan trọng.,"Tết Mậu Thân 1968 là một mốc quan trọng vì nó làm lung lay chiến lược chiến tranh của Mỹ, tác động mạnh tới dư luận/chính trường Mỹ và thúc đẩy đàm phán; dù vậy, chiến tranh không kết thúc ngay mà còn tiếp diễn, và mốc ngoại giao quan trọng sau đó là Hiệp định Paris 1973. [1]","[1]: So sánh Hiệp định Genève 1954 và Hiệp định Paris 1973 :: Chuẩn hóa theo canonical fact TET_MAU_THAN_1968_IMPACT: Tết Mậu Thân 1968 tạo tác động chính trị lớn: làm lung lay chiến lược chiến tranh của Mỹ, ảnh hưởng mạnh tới dư luận/chính trường Mỹ và thúc đẩy cục diện đàm phán; mốc ngoại giao quan trọng sau đó là Hiệp định Paris 1973. Sự kiện này không làm chiến tranh kết thúc ngay.. [TITLE] So sánh Hiệp đ...",So sánh Hiệp định Genève 1954 và Hiệp định Paris 1973 | Năm 1968: Tổng tiến công và nổi dậy Tết Mậu Thân | Đường 9 trong Chiến dịch Đường 9 - Nam Lào năm 1971 | Đội Việt Nam Tuyên truyền Giải phóng quân thành lập ngày 22/12/1944 | Xô viết Nghệ Tĩnh trong cao trào 1930-1931,9.81,4.0,2.0,1.5,1.31,1.0,,False,10.0,,,
92,G5K_0092,explanation,,1,200,"Nếu học sinh hỏi Việt Minh 1941 quan trọng ở đâu, nên trả lời thế nào?","Việt Minh ra đời trong tháng 5/1941; nguồn dữ liệu ghi mốc 19/5/1941 là ngày thành lập Mặt trận Việt Minh, gắn với Hội nghị Trung ương 8 do Nguyễn Ái Quốc chủ trì. Tổ chức này tập hợp lực lượng yêu nước, tổ chức và lãnh đạo quần chúng đấu tranh giành chính quyền, góp phần trực tiếp vào thắng lợi của Cách mạng Tháng Tám 1945 [1]","[1]: So sánh Đảng Cộng sản Việt Nam và Việt Minh :: Chuẩn hóa theo canonical fact VIET_MINH_1941_ROLE: Việt Minh ra đời trong tháng 5/1941; nguồn dữ liệu ghi mốc 19/5/1941 là ngày thành lập Mặt trận Việt Minh, gắn với Hội nghị Trung ương 8 do Nguyễn Ái Quốc chủ trì. Tổ chức này tập hợp lực lượng yêu nước, tổ chức và lãnh đạo quần chúng đấu tranh giành chính quyền, góp phần trực tiếp vào thắng lợi củ...","So sánh Đảng Cộng sản Việt Nam và Việt Minh | Hội nghị Trung ương 8 năm 1941 và Việt Minh | Lời kêu gọi thi đua ái quốc ngày 11/6/1948 | Năm 1939: Chiến tranh thế giới thứ hai và Hội nghị Trung ương 6 | Năm 1945: Nhật đảo chính Pháp, Tổng khởi nghĩa và Tuyên ngôn Độc lập",9.85,4.0,2.0,1.5,1.35,1.0,,False,10.0,,,
93,G5K_0093,explanation,,1,200,Hiệp định Genève 1954 có ý nghĩa chính như thế nào trong giai đoạn 1930-1975?,"Hiệp định Genève 1954 có ý nghĩa chính là góp phần **kết thúc chiến tranh** ở Đông Dương, đồng thời quy định **vĩ tuyến 17** là **giới tuyến quân sự tạm thời**, **không phải biên giới vĩnh viễn**, và dự kiến sẽ tổ chức **tổng tuyển cử** để thống nhất đất nước. [1][3][4][5]","[1]: So sánh Hiệp định Genève 1954 và Hiệp định Paris 1973 :: Chuẩn hóa theo canonical fact GENEVE_1954_17TH_PARALLEL: Hiệp định Genève 1954 là mốc quan trọng vì góp phần kết thúc chiến tranh ở Đông Dương, quy định vĩ tuyến 17 là giới tuyến quân sự tạm thời, không phải biên giới vĩnh viễn, và gắn với dự kiến tổng tuyển cử thống nhất đất nước.. [TITLE] So sánh Hiệp định Genève 1954 và Hiệp định Paris 1973 [SUM... | [3]: Tổng tuyển cử thống nhất dự kiến năm 1956 sau Hiệp định Genève :: Sau Hiệp định Genève 1954, tổng tuyển cử thống nhất dự kiến vào năm 1956 nhưng không được thực hiện. | [4]: Nguồn trực tiếp: Hiệp định Genève 1954 quy định đình chỉ chiến sự và giới tuyến tạm thời :: Hiệp định Genève 1954 về Đông Dương gắn với đình chỉ chiến sự; đối với Việt Nam, giới tuyến quân sự tạm thời được xác định ở vĩ tuyến 17. | [5]: So sánh Điện Biên Phủ 1954 và Hiệp định Genève 1954 :: Điện Biên Phủ 1954 là thắng lợi quân sự quyết định; Hiệp định Genève 1954 là kết quả ngoại giao ghi nhận đình chiến và lập lại hòa bình ở Đông Dương.",So sánh Hiệp định Genève 1954 và Hiệp định Paris 1973 | Phân biệt Hiệp định Genève 1954 và Hiệp định Paris 1973 | Tổng tuyển cử thống nhất dự kiến năm 1956 sau Hiệp định Genève | Nguồn trực tiếp: Hiệp định Genève 1954 quy định đình chỉ chiến sự và giới tuyến tạm thời | So sánh Điện Biên Phủ 1954 và Hiệp định Genève 1954,10.0,4.0,2.0,1.5,1.5,1.0,,False,10.0,,,
94,G5K_0094,explanation,,1,200,Đường Trường Sơn có ý nghĩa chính như thế nào trong giai đoạn 1930-1975?,"Đường Trường Sơn là tuyến vận tải chiến lược đưa người và vật chất chi viện cho miền Nam, nối hậu phương miền Bắc với tiền tuyến miền Nam trong kháng chiến chống Mỹ. [1]","[1]: Năm 1959: Đoàn 559 và đường Trường Sơn :: Chuẩn hóa theo canonical fact TRUONG_SON_SUPPORT: Không. Đường Trường Sơn không phải là một hiệp định ngoại giao; đây là tuyến vận tải chiến lược đưa người và vật chất chi viện cho miền Nam, nối hậu phương miền Bắc với tiền tuyến miền Nam trong kháng chiến chống Mỹ.. [TITLE] Năm 1959: Đoàn 559 và đường Trường Sơn [SUMMARY] Ngày 19/5/1959, Đoàn 559 ...",Năm 1959: Đoàn 559 và đường Trường Sơn | Bắt đầu xây dựng đường Trường Sơn (đường Hồ Chí Minh) – huyết mạch chi viện miền Nam (1959) | Đường Trường Sơn - canonical answer evidence | Mốc ngày 19/5/1959 trong lịch sử Việt Nam 1954-1975 | Bối cảnh chính của Đường Trường Sơn và Đoàn 559,8.15,2.8,2.0,1.0,1.35,1.0,,False,10.0,chi viện miền Nam | Không,,
95,G5K_0095,explanation,,1,200,"Nếu học sinh hỏi Chiến dịch Tây Nguyên 1975 quan trọng ở đâu, nên trả lời thế nào?","Có thể trả lời: **Chiến dịch Tây Nguyên** là thắng lợi mở đầu cho **đột phá chiến lược** của Tổng tiến công mùa Xuân 1975; đặc biệt, việc đánh thắng ở **Buôn Ma Thuột** ngày **10/3/1975** đã tạo đà cho quân ta phát triển nhanh ra **Huế - Đà Nẵng**, rồi tiến tới **Sài Gòn**, góp phần đi đến thắng lợi hoàn toàn vào **30/4/1975**. [1]","[1]: Ngày 10/3/1975 mở màn chiến dịch Tây Nguyên tại Buôn Ma Thuột :: Chuẩn hóa theo canonical fact TAY_NGUYEN_1975_BREAKTHROUGH: Chiến dịch Tây Nguyên 1975 mở đầu đột phá chiến lược của Tổng tiến công mùa Xuân 1975; thắng lợi ở Buôn Ma Thuột ngày 10/3/1975 tạo đà phát triển nhanh tới Huế - Đà Nẵng và cuối cùng tới Sài Gòn, kết thúc bằng mốc 30/4/1975 trong Chiến dịch Hồ Chí Minh.. [TITLE] Ngày 10/3/1975 mở màn chiến...",Ngày 10/3/1975 mở màn chiến dịch Tây Nguyên tại Buôn Ma Thuột | Đường 9 trong Chiến dịch Đường 9 - Nam Lào năm 1971 | Chiến thắng Phước Long cuối 1974 - đầu 1975 | Năm 1975: Tổng tiến công mùa Xuân và giải phóng miền Nam | Năm 1974: chuyển biến trước Tổng tiến công 1975 và Phước Long,10.0,4.0,2.0,1.5,1.5,1.0,,False,10.0,,,
