ordinal,case_id,category,conversation_id,turn_index,question,gold_fact_id,gold_topic,expected_answer_slots,forbidden_slots,gold_evidence_hints,canonical_answer,critical,notes
136,G5K_0136,timeline,,1,Tuyến Chiến dịch Điện Biên Phủ 1954 bắt đầu và kết lại bằng những mốc nào?,DBP_1954_MILESTONES,Chiến dịch Điện Biên Phủ 1954,"[""13/3/1954"", ""Him Lam"", ""56 ngày đêm"", ""7/5/1954""]","[""Điện Biên Phủ trên không 1972""]","[""13/3/1954"", ""dien bien phu""]","Các mốc ổn định của Chiến dịch Điện Biên Phủ: mở màn ngày 13/3/1954 với trận Him Lam, diễn ra 56 ngày đêm, và kết thúc thắng lợi ngày 7/5/1954.",True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
137,G5K_0137,timeline,,1,Tuyến Các mốc chống Mỹ 1960-1973 bắt đầu và kết lại bằng những mốc nào?,ANTI_US_1960_1973_TIMELINE,Các mốc chống Mỹ 1960-1973,"[""1960"", ""1968"", ""1972"", ""1973""]","[""bỏ mốc 1972""]","[""1960"", ""Tết Mậu Thân"", ""Điện Biên Phủ trên không"", ""Paris""]",Các mốc chống Mỹ 1960-1973 có thể sắp xếp ngắn: năm 1960 Mặt trận Dân tộc Giải phóng miền Nam ra đời; năm 1968 Tết Mậu Thân tạo tác động chính trị lớn; cuối năm 1972 Điện Biên Phủ trên không đánh bại B-52; ngày 27/1/1973 ký Hiệp định Paris.,True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
138,G5K_0138,timeline,,1,Hãy tóm tắt timeline Từ Việt Bắc 1947 đến Biên giới 1950 bằng vài mốc cốt lõi.,VIET_BAC_1947_TO_BIEN_GIOI_1950_TIMELINE,Từ Việt Bắc 1947 đến Biên giới 1950,"[""Việt Bắc 1947"", ""Biên giới 1950"", ""thế chủ động""]","[""đảo thứ tự 1950 trước 1947""]","[""Việt Bắc Thu Đông 1947"", ""Biên giới Thu Đông 1950"", ""thế chủ động""]","Thứ tự đúng là Việt Bắc Thu Đông 1947 diễn ra trước, giúp bảo vệ căn cứ và đánh bại chiến lược đánh nhanh thắng nhanh; sau đó Chiến dịch Biên giới Thu Đông 1950 khai thông biên giới, mở rộng căn cứ và đưa kháng chiến sang thế chủ động hơn.",True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
139,G5K_0139,timeline,,1,Tuyến Từ Genève 1954 đến Đồng Khởi bắt đầu và kết lại bằng những mốc nào?,GENEVE_1954_TO_DONG_KHOI_TIMELINE,Từ Genève 1954 đến Đồng Khởi,"[""1954"", ""vĩ tuyến 17"", ""1959-1960""]","[""nói Genève thống nhất ngay""]","[""vĩ tuyến 17"", ""1959-1960"", ""Đồng Khởi""]",Từ Genève 1954 đến Đồng Khởi có thể nhớ: năm 1954 Genève xác lập giới tuyến quân sự tạm thời ở vĩ tuyến 17; tổng tuyển cử thống nhất dự kiến năm 1956 không được thực hiện; đến 1959-1960 phong trào Đồng Khởi làm chuyển thế cách mạng miền Nam.,True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
140,G5K_0140,timeline,,1,Tuyến Từ Việt Minh đến Đội Việt Nam Tuyên truyền Giải phóng quân bắt đầu và kết lại bằng những mốc nào?,VIET_MINH_TO_VNTTGPQ_TIMELINE,Từ Việt Minh đến Đội Việt Nam Tuyên truyền Giải phóng quân,"[""1941"", ""22/12/1944"", ""lực lượng vũ trang""]","[""đồng nhất mặt trận chính trị với lực lượng vũ trang""]","[""Việt Minh"", ""22/12/1944"", ""lực lượng vũ trang""]","Thứ tự cần nhớ: năm 1941 Việt Minh ra đời, tập hợp lực lượng giải phóng dân tộc; sau đó ngày 22/12/1944 Đội Việt Nam Tuyên truyền Giải phóng quân được thành lập, là lực lượng vũ trang cách mạng quan trọng.",True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
141,G5K_0141,timeline,,1,Hãy tóm tắt timeline Các mốc Việt Nam Dân chủ Cộng hòa lúc mới ra đời bằng vài mốc cốt lõi.,EARLY_VNDCCH_1945_1946_TIMELINE,Các mốc Việt Nam Dân chủ Cộng hòa lúc mới ra đời,"[""2/9/1945"", ""Hiến pháp 1946"", ""19/12/1946""]","[""nhầm với giai đoạn chống Mỹ""]","[""2/9/1945"", ""Hiến pháp 1946"", ""19/12/1946""]",Các mốc chính của Việt Nam Dân chủ Cộng hòa lúc mới ra đời có thể nhớ: ngày 2/9/1945 Tuyên ngôn Độc lập khai sinh nước Việt Nam Dân chủ Cộng hòa; năm 1946 Quốc hội thông qua Hiến pháp đầu tiên; ngày 19/12/1946 Toàn quốc kháng chiến bùng nổ.,True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
142,G5K_0142,timeline,,1,Sắp xếp ngắn các mốc chính trong tuyến sự kiện Từ Buôn Ma Thuột đến Huế trong Tổng tiến công mùa Xuân 1975.,BUON_MA_THUOT_TO_HUE_1975_TIMELINE,Từ Buôn Ma Thuột đến Huế trong Tổng tiến công mùa Xuân 1975,"[""10/3/1975"", ""26/3/1975"", ""Huế""]","[""chỉ nêu một trong hai mốc""]","[""Buôn Ma Thuột"", ""10/3/1975"", ""Huế"", ""26/3/1975""]","Theo thứ tự thời gian trong Tổng tiến công mùa Xuân 1975: Buôn Ma Thuột mở màn thắng lợi ngày 10/3/1975, sau đó đà tiến công phát triển nhanh và Huế được giải phóng ngày 26/3/1975.",True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
143,G5K_0143,timeline,,1,Tổng tiến công mùa Xuân 1975 gồm những mốc nào cần nhớ theo thứ tự thời gian?,SPRING_1975_CAMPAIGN_CHAIN,Tổng tiến công mùa Xuân 1975,"[""Tây Nguyên"", ""Huế - Đà Nẵng"", ""Chiến dịch Hồ Chí Minh"", ""30/4/1975"", ""Buôn Ma Thuột"", ""10/3/1975""]","[""Chiến dịch Hồ Chí Minh là mở đầu""]","[""tong tien cong"", ""1975"", ""Buôn Ma Thuột"", ""Huế - Đà Nẵng"", ""Chiến dịch Hồ Chí Minh"", ""30/4/1975""]","Chuỗi chiến dịch chính trong Tổng tiến công mùa Xuân 1975 gồm Tây Nguyên mở đầu bằng thắng lợi Buôn Ma Thuột ngày 10/3/1975, tiếp đến Huế - Đà Nẵng, rồi Chiến dịch Hồ Chí Minh kết thúc bằng mốc 30/4/1975.",True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
144,G5K_0144,timeline,,1,Ba mốc lớn 1945 - 1954 - 1975 gồm những mốc nào cần nhớ theo thứ tự thời gian?,THREE_MILESTONES_1945_1954_1975,Ba mốc lớn 1945 - 1954 - 1975,"[""1945"", ""1954"", ""1975""]","[""chỉ trả lời riêng năm 1975""]","[""1945"", ""1954"", ""1975"", ""Điện Biên Phủ"", ""Tuyên ngôn Độc lập""]","Ba mốc lớn có thể nhớ ngắn gọn: năm 1945 gắn với Cách mạng Tháng Tám và Tuyên ngôn Độc lập khai sinh nước Việt Nam Dân chủ Cộng hòa; năm 1954 gắn với Chiến thắng Điện Biên Phủ và Hiệp định Genève; năm 1975 gắn với giải phóng miền Nam, kết thúc chiến tranh.",True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
145,G5K_0145,timeline,,1,tu dien bien phu den geneve gom moc nao?,DBP_1954_TO_GENEVE_TIMELINE,Từ Điện Biên Phủ 1954 đến Hiệp định Genève,"[""7/5/1954"", ""Điện Biên Phủ"", ""Genève"", ""tháng 7/1954""]","[""trả sang Genève đến Đồng Khởi""]","[""Điện Biên Phủ"", ""7/5/1954"", ""Genève"", ""1954""]","Tuyến Điện Biên Phủ đến Genève cần nhớ: Chiến thắng Điện Biên Phủ kết thúc ngày 7/5/1954, tạo tác động trực tiếp tới đàm phán, rồi Hiệp định Genève về Đông Dương được ký trong tháng 7/1954.",True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
146,G5K_0146,timeline,,1,Sắp xếp ngắn các mốc chính trong tuyến sự kiện Ba mốc lớn 1945 - 1954 - 1975.,THREE_MILESTONES_1945_1954_1975,Ba mốc lớn 1945 - 1954 - 1975,"[""1945"", ""1954"", ""1975""]","[""chỉ trả lời riêng năm 1975""]","[""1945"", ""1954"", ""1975"", ""Điện Biên Phủ"", ""Tuyên ngôn Độc lập""]","Ba mốc lớn có thể nhớ ngắn gọn: năm 1945 gắn với Cách mạng Tháng Tám và Tuyên ngôn Độc lập khai sinh nước Việt Nam Dân chủ Cộng hòa; năm 1954 gắn với Chiến thắng Điện Biên Phủ và Hiệp định Genève; năm 1975 gắn với giải phóng miền Nam, kết thúc chiến tranh.",True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
147,G5K_0147,timeline,,1,Từ Đồng Khởi đến Tết Mậu Thân gồm những mốc nào cần nhớ theo thứ tự thời gian?,DONG_KHOI_TO_TET_MAU_THAN_TIMELINE,Từ Đồng Khởi đến Tết Mậu Thân,"[""1959-1960"", ""20/12/1960"", ""Mặt trận Dân tộc Giải phóng miền Nam"", ""1968""]","[""dừng ở 1960 mà bỏ Tết Mậu Thân 1968""]","[""Đồng Khởi"", ""20/12/1960"", ""Mặt trận Dân tộc Giải phóng miền Nam"", ""Tết Mậu Thân""]",Từ Đồng Khởi đến Tết Mậu Thân có thể nhớ theo tuyến: phong trào Đồng Khởi 1959-1960 làm chuyển thế cách mạng miền Nam; ngày 20/12/1960 Mặt trận Dân tộc Giải phóng miền Nam ra đời; năm 1968 diễn ra Tết Mậu Thân với tác động chính trị lớn.,True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
148,G5K_0148,timeline,,1,Tuyến Từ Buôn Ma Thuột đến Huế trong Tổng tiến công mùa Xuân 1975 bắt đầu và kết lại bằng những mốc nào?,BUON_MA_THUOT_TO_HUE_1975_TIMELINE,Từ Buôn Ma Thuột đến Huế trong Tổng tiến công mùa Xuân 1975,"[""10/3/1975"", ""26/3/1975"", ""Huế""]","[""chỉ nêu một trong hai mốc""]","[""Buôn Ma Thuột"", ""10/3/1975"", ""Huế"", ""26/3/1975""]","Theo thứ tự thời gian trong Tổng tiến công mùa Xuân 1975: Buôn Ma Thuột mở màn thắng lợi ngày 10/3/1975, sau đó đà tiến công phát triển nhanh và Huế được giải phóng ngày 26/3/1975.",True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
149,G5K_0149,timeline,,1,sap xep ngan cac moc chinh trong tuyen su kien tu hiep dinh so bo den toan quoc khang chien?,HIEP_DINH_SO_BO_TO_TOAN_QUOC_1946_TIMELINE,Từ Hiệp định Sơ bộ đến Toàn quốc kháng chiến năm 1946,"[""6/3/1946"", ""14/9/1946"", ""19/12/1946""]","[""chỉ nêu Toàn quốc kháng chiến mà bỏ Hiệp định Sơ bộ""]","[""Hiệp định Sơ bộ"", ""Tạm ước"", ""Toàn quốc kháng chiến"", ""19/12/1946""]","Tuyến sự kiện năm 1946 có thể nhớ theo thứ tự: Hiệp định Sơ bộ Việt - Pháp ngày 6/3/1946, Tạm ước Việt - Pháp ngày 14/9/1946, rồi Toàn quốc kháng chiến bùng nổ ngày 19/12/1946.",True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
150,G5K_0150,timeline,,1,Tuyến Từ Paris 1973 đến 30/4/1975 bắt đầu và kết lại bằng những mốc nào?,PARIS_1973_TO_APR30_1975_TIMELINE,Từ Paris 1973 đến 30/4/1975,"[""Paris 1973"", ""Mỹ rút quân"", ""30/4/1975""]","[""nói chiến tranh kết thúc ngay năm 1973""]","[""Paris"", ""Mỹ rút quân"", ""30/4/1975""]",Từ Paris 1973 đến 30/4/1975 có thể nhớ: ngày 27/1/1973 Hiệp định Paris được ký; sau đó Mỹ rút quân nhưng chiến tranh chưa kết thúc ngay; năm 1975 Tổng tiến công mùa Xuân phát triển và kết thúc bằng mốc 30/4/1975.,True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
151,G5K_0151,timeline,,1,sap xep ngan cac moc chinh trong tuyen su kien tu geneve 1954 den dong khoi?,GENEVE_1954_TO_DONG_KHOI_TIMELINE,Từ Genève 1954 đến Đồng Khởi,"[""1954"", ""vĩ tuyến 17"", ""1959-1960""]","[""nói Genève thống nhất ngay""]","[""vĩ tuyến 17"", ""1959-1960"", ""Đồng Khởi""]",Từ Genève 1954 đến Đồng Khởi có thể nhớ: năm 1954 Genève xác lập giới tuyến quân sự tạm thời ở vĩ tuyến 17; tổng tuyển cử thống nhất dự kiến năm 1956 không được thực hiện; đến 1959-1960 phong trào Đồng Khởi làm chuyển thế cách mạng miền Nam.,True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
152,G5K_0152,timeline,,1,Sắp xếp ngắn các mốc chính trong tuyến sự kiện Từ Điện Biên Phủ 1954 đến Hiệp định Genève.,DBP_1954_TO_GENEVE_TIMELINE,Từ Điện Biên Phủ 1954 đến Hiệp định Genève,"[""7/5/1954"", ""Điện Biên Phủ"", ""Genève"", ""tháng 7/1954""]","[""trả sang Genève đến Đồng Khởi""]","[""Điện Biên Phủ"", ""7/5/1954"", ""Genève"", ""1954""]","Tuyến Điện Biên Phủ đến Genève cần nhớ: Chiến thắng Điện Biên Phủ kết thúc ngày 7/5/1954, tạo tác động trực tiếp tới đàm phán, rồi Hiệp định Genève về Đông Dương được ký trong tháng 7/1954.",True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
153,G5K_0153,timeline,,1,Tuyến Các mốc Việt Nam Dân chủ Cộng hòa lúc mới ra đời bắt đầu và kết lại bằng những mốc nào?,EARLY_VNDCCH_1945_1946_TIMELINE,Các mốc Việt Nam Dân chủ Cộng hòa lúc mới ra đời,"[""2/9/1945"", ""Hiến pháp 1946"", ""19/12/1946""]","[""nhầm với giai đoạn chống Mỹ""]","[""2/9/1945"", ""Hiến pháp 1946"", ""19/12/1946""]",Các mốc chính của Việt Nam Dân chủ Cộng hòa lúc mới ra đời có thể nhớ: ngày 2/9/1945 Tuyên ngôn Độc lập khai sinh nước Việt Nam Dân chủ Cộng hòa; năm 1946 Quốc hội thông qua Hiến pháp đầu tiên; ngày 19/12/1946 Toàn quốc kháng chiến bùng nổ.,True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
154,G5K_0154,timeline,,1,tu paris 1973 den 30/4/1975 gom moc nao?,PARIS_1973_TO_APR30_1975_TIMELINE,Từ Paris 1973 đến 30/4/1975,"[""Paris 1973"", ""Mỹ rút quân"", ""30/4/1975""]","[""nói chiến tranh kết thúc ngay năm 1973""]","[""Paris"", ""Mỹ rút quân"", ""30/4/1975""]",Từ Paris 1973 đến 30/4/1975 có thể nhớ: ngày 27/1/1973 Hiệp định Paris được ký; sau đó Mỹ rút quân nhưng chiến tranh chưa kết thúc ngay; năm 1975 Tổng tiến công mùa Xuân phát triển và kết thúc bằng mốc 30/4/1975.,True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
155,G5K_0155,timeline,,1,Sắp xếp ngắn các mốc chính trong tuyến sự kiện Kháng chiến chống Pháp 1946-1954.,ANTI_FRENCH_1946_1954_TIMELINE,Kháng chiến chống Pháp 1946-1954,"[""19/12/1946"", ""Biên giới 1950"", ""Điện Biên Phủ 1954""]","[""nhầm sang kháng chiến chống Mỹ""]","[""19/12/1946"", ""Biên giới Thu Đông 1950"", ""Điện Biên Phủ"", ""Genève""]",Timeline kháng chiến chống Pháp 1946-1954 có thể tóm tắt: Toàn quốc kháng chiến ngày 19/12/1946; Chiến dịch Biên giới Thu Đông 1950 đưa kháng chiến sang thế chủ động hơn; năm 1954 Chiến thắng Điện Biên Phủ và Hiệp định Genève.,True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
156,G5K_0156,timeline,,1,Từ Paris 1973 đến 30/4/1975 gồm những mốc nào cần nhớ theo thứ tự thời gian?,PARIS_1973_TO_APR30_1975_TIMELINE,Từ Paris 1973 đến 30/4/1975,"[""Paris 1973"", ""Mỹ rút quân"", ""30/4/1975""]","[""nói chiến tranh kết thúc ngay năm 1973""]","[""Paris"", ""Mỹ rút quân"", ""30/4/1975""]",Từ Paris 1973 đến 30/4/1975 có thể nhớ: ngày 27/1/1973 Hiệp định Paris được ký; sau đó Mỹ rút quân nhưng chiến tranh chưa kết thúc ngay; năm 1975 Tổng tiến công mùa Xuân phát triển và kết thúc bằng mốc 30/4/1975.,True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
157,G5K_0157,timeline,,1,Tuyến Từ Hà Nội giành chính quyền đến Tuyên ngôn Độc lập bắt đầu và kết lại bằng những mốc nào?,CMT8_HANOI_TO_DECLARATION_TIMELINE,Từ Hà Nội giành chính quyền đến Tuyên ngôn Độc lập,"[""19/8/1945"", ""2/9/1945"", ""Việt Nam Dân chủ Cộng hòa""]","[""chỉ nêu 2/9/1945 mà bỏ mốc Hà Nội 19/8/1945""]","[""19/8/1945"", ""Tuyên ngôn Độc lập"", ""Việt Nam Dân chủ Cộng hòa""]","Tuyến sự kiện ngắn: ngày 19/8/1945, quần chúng Hà Nội giành chính quyền trong Cách mạng Tháng Tám; ngày 2/9/1945, Hồ Chí Minh đọc Tuyên ngôn Độc lập tại Ba Đình, khai sinh nước Việt Nam Dân chủ Cộng hòa.",True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
158,G5K_0158,timeline,,1,Hãy tóm tắt timeline Tổng tiến công mùa Xuân 1975 bằng vài mốc cốt lõi.,SPRING_1975_CAMPAIGN_CHAIN,Tổng tiến công mùa Xuân 1975,"[""Tây Nguyên"", ""Huế - Đà Nẵng"", ""Chiến dịch Hồ Chí Minh"", ""30/4/1975"", ""Buôn Ma Thuột"", ""10/3/1975""]","[""Chiến dịch Hồ Chí Minh là mở đầu""]","[""tong tien cong"", ""1975"", ""Buôn Ma Thuột"", ""Huế - Đà Nẵng"", ""Chiến dịch Hồ Chí Minh"", ""30/4/1975""]","Chuỗi chiến dịch chính trong Tổng tiến công mùa Xuân 1975 gồm Tây Nguyên mở đầu bằng thắng lợi Buôn Ma Thuột ngày 10/3/1975, tiếp đến Huế - Đà Nẵng, rồi Chiến dịch Hồ Chí Minh kết thúc bằng mốc 30/4/1975.",True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
159,G5K_0159,timeline,,1,Hãy tóm tắt timeline Từ Genève 1954 đến Đồng Khởi bằng vài mốc cốt lõi.,GENEVE_1954_TO_DONG_KHOI_TIMELINE,Từ Genève 1954 đến Đồng Khởi,"[""1954"", ""vĩ tuyến 17"", ""1959-1960""]","[""nói Genève thống nhất ngay""]","[""vĩ tuyến 17"", ""1959-1960"", ""Đồng Khởi""]",Từ Genève 1954 đến Đồng Khởi có thể nhớ: năm 1954 Genève xác lập giới tuyến quân sự tạm thời ở vĩ tuyến 17; tổng tuyển cử thống nhất dự kiến năm 1956 không được thực hiện; đến 1959-1960 phong trào Đồng Khởi làm chuyển thế cách mạng miền Nam.,True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
160,G5K_0160,timeline,,1,Hãy tóm tắt timeline Kháng chiến chống Pháp 1946-1954 bằng vài mốc cốt lõi.,ANTI_FRENCH_1946_1954_TIMELINE,Kháng chiến chống Pháp 1946-1954,"[""19/12/1946"", ""Biên giới 1950"", ""Điện Biên Phủ 1954""]","[""nhầm sang kháng chiến chống Mỹ""]","[""19/12/1946"", ""Biên giới Thu Đông 1950"", ""Điện Biên Phủ"", ""Genève""]",Timeline kháng chiến chống Pháp 1946-1954 có thể tóm tắt: Toàn quốc kháng chiến ngày 19/12/1946; Chiến dịch Biên giới Thu Đông 1950 đưa kháng chiến sang thế chủ động hơn; năm 1954 Chiến thắng Điện Biên Phủ và Hiệp định Genève.,True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
161,G5K_0161,timeline,,1,Sắp xếp ngắn các mốc chính trong tuyến sự kiện Từ Việt Minh đến Đội Việt Nam Tuyên truyền Giải phóng quân.,VIET_MINH_TO_VNTTGPQ_TIMELINE,Từ Việt Minh đến Đội Việt Nam Tuyên truyền Giải phóng quân,"[""1941"", ""22/12/1944"", ""lực lượng vũ trang""]","[""đồng nhất mặt trận chính trị với lực lượng vũ trang""]","[""Việt Minh"", ""22/12/1944"", ""lực lượng vũ trang""]","Thứ tự cần nhớ: năm 1941 Việt Minh ra đời, tập hợp lực lượng giải phóng dân tộc; sau đó ngày 22/12/1944 Đội Việt Nam Tuyên truyền Giải phóng quân được thành lập, là lực lượng vũ trang cách mạng quan trọng.",True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
162,G5K_0162,timeline,,1,sap xep ngan cac moc chinh trong tuyen su kien ba moc 1945-1954-1975?,THREE_MILESTONES_1945_1954_1975,Ba mốc lớn 1945 - 1954 - 1975,"[""1945"", ""1954"", ""1975""]","[""chỉ trả lời riêng năm 1975""]","[""1945"", ""1954"", ""1975"", ""Điện Biên Phủ"", ""Tuyên ngôn Độc lập""]","Ba mốc lớn có thể nhớ ngắn gọn: năm 1945 gắn với Cách mạng Tháng Tám và Tuyên ngôn Độc lập khai sinh nước Việt Nam Dân chủ Cộng hòa; năm 1954 gắn với Chiến thắng Điện Biên Phủ và Hiệp định Genève; năm 1975 gắn với giải phóng miền Nam, kết thúc chiến tranh.",True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
163,G5K_0163,timeline,,1,Sắp xếp ngắn các mốc chính trong tuyến sự kiện Từ Paris 1973 đến 30/4/1975.,PARIS_1973_TO_APR30_1975_TIMELINE,Từ Paris 1973 đến 30/4/1975,"[""Paris 1973"", ""Mỹ rút quân"", ""30/4/1975""]","[""nói chiến tranh kết thúc ngay năm 1973""]","[""Paris"", ""Mỹ rút quân"", ""30/4/1975""]",Từ Paris 1973 đến 30/4/1975 có thể nhớ: ngày 27/1/1973 Hiệp định Paris được ký; sau đó Mỹ rút quân nhưng chiến tranh chưa kết thúc ngay; năm 1975 Tổng tiến công mùa Xuân phát triển và kết thúc bằng mốc 30/4/1975.,True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
164,G5K_0164,timeline,,1,Tuyến Từ Điện Biên Phủ 1954 đến Hiệp định Genève bắt đầu và kết lại bằng những mốc nào?,DBP_1954_TO_GENEVE_TIMELINE,Từ Điện Biên Phủ 1954 đến Hiệp định Genève,"[""7/5/1954"", ""Điện Biên Phủ"", ""Genève"", ""tháng 7/1954""]","[""trả sang Genève đến Đồng Khởi""]","[""Điện Biên Phủ"", ""7/5/1954"", ""Genève"", ""1954""]","Tuyến Điện Biên Phủ đến Genève cần nhớ: Chiến thắng Điện Biên Phủ kết thúc ngày 7/5/1954, tạo tác động trực tiếp tới đàm phán, rồi Hiệp định Genève về Đông Dương được ký trong tháng 7/1954.",True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
165,G5K_0165,timeline,,1,Hãy tóm tắt timeline Từ Buôn Ma Thuột đến Huế trong Tổng tiến công mùa Xuân 1975 bằng vài mốc cốt lõi.,BUON_MA_THUOT_TO_HUE_1975_TIMELINE,Từ Buôn Ma Thuột đến Huế trong Tổng tiến công mùa Xuân 1975,"[""10/3/1975"", ""26/3/1975"", ""Huế""]","[""chỉ nêu một trong hai mốc""]","[""Buôn Ma Thuột"", ""10/3/1975"", ""Huế"", ""26/3/1975""]","Theo thứ tự thời gian trong Tổng tiến công mùa Xuân 1975: Buôn Ma Thuột mở màn thắng lợi ngày 10/3/1975, sau đó đà tiến công phát triển nhanh và Huế được giải phóng ngày 26/3/1975.",True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
166,G5K_0166,timeline,,1,tran him lam gan voi moc nao?,DBP_1954_MILESTONES,Chiến dịch Điện Biên Phủ 1954,"[""13/3/1954"", ""Him Lam"", ""56 ngày đêm"", ""7/5/1954""]","[""Điện Biên Phủ trên không 1972""]","[""13/3/1954"", ""dien bien phu""]","Các mốc ổn định của Chiến dịch Điện Biên Phủ: mở màn ngày 13/3/1954 với trận Him Lam, diễn ra 56 ngày đêm, và kết thúc thắng lợi ngày 7/5/1954.",True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
167,G5K_0167,timeline,,1,cac moc chong my 1960 1973 gom gi?,ANTI_US_1960_1973_TIMELINE,Các mốc chống Mỹ 1960-1973,"[""1960"", ""1968"", ""1972"", ""1973""]","[""bỏ mốc 1972""]","[""1960"", ""Tết Mậu Thân"", ""Điện Biên Phủ trên không"", ""Paris""]",Các mốc chống Mỹ 1960-1973 có thể sắp xếp ngắn: năm 1960 Mặt trận Dân tộc Giải phóng miền Nam ra đời; năm 1968 Tết Mậu Thân tạo tác động chính trị lớn; cuối năm 1972 Điện Biên Phủ trên không đánh bại B-52; ngày 27/1/1973 ký Hiệp định Paris.,True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
168,G5K_0168,timeline,,1,cac moc chinh cua viet nam dan chu cong hoa luc moi ra doi?,EARLY_VNDCCH_1945_1946_TIMELINE,Các mốc Việt Nam Dân chủ Cộng hòa lúc mới ra đời,"[""2/9/1945"", ""Hiến pháp 1946"", ""19/12/1946""]","[""nhầm với giai đoạn chống Mỹ""]","[""2/9/1945"", ""Hiến pháp 1946"", ""19/12/1946""]",Các mốc chính của Việt Nam Dân chủ Cộng hòa lúc mới ra đời có thể nhớ: ngày 2/9/1945 Tuyên ngôn Độc lập khai sinh nước Việt Nam Dân chủ Cộng hòa; năm 1946 Quốc hội thông qua Hiến pháp đầu tiên; ngày 19/12/1946 Toàn quốc kháng chiến bùng nổ.,True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
169,G5K_0169,timeline,,1,Tuyến Từ Genève 1954 đến tổng tuyển cử 1956 không diễn ra bắt đầu và kết lại bằng những mốc nào?,GENEVE_1954_TO_1956_ELECTION_TIMELINE,Từ Genève 1954 đến tổng tuyển cử 1956 không diễn ra,"[""1954"", ""1956"", ""không được thực hiện"", ""chia cắt""]","[""trả ba mốc 1945-1954-1975""]","[""Tổng tuyển cử thống nhất dự kiến năm 1956 sau Hiệp định Genève"", ""Genève"", ""1956""]","Từ Genève 1954 đến tổng tuyển cử cần nhớ: Hiệp định Genève năm 1954 xác lập giới tuyến quân sự tạm thời; tổng tuyển cử thống nhất đất nước dự kiến vào năm 1956 nhưng không được thực hiện, khiến tình trạng chia cắt kéo dài.",True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
170,G5K_0170,timeline,,1,Đồng Khởi và Mặt trận Dân tộc Giải phóng miền Nam gồm những mốc nào cần nhớ theo thứ tự thời gian?,DONG_KHOI_TO_NLF_1960,Đồng Khởi và Mặt trận Dân tộc Giải phóng miền Nam,"[""Đồng Khởi 1959-1960"", ""20/12/1960"", ""Mặt trận Dân tộc Giải phóng miền Nam""]","[""Việt Minh 1941""]","[""20/12/1960"", ""mat tran dan toc giai phong""]","Từ Đồng Khởi đến Mặt trận Dân tộc Giải phóng miền Nam cần nhớ: phong trào Đồng Khởi 1959-1960 đưa cách mạng miền Nam từ thế giữ gìn lực lượng sang thế tiến công; ngày 20/12/1960, Mặt trận Dân tộc Giải phóng miền Nam Việt Nam ra đời.",True,"Human scorer must grade the real LLM answer using rubric; slot fields are reference aids, not final auto score."
